FLD1,FLD2,z_1 / mole frac.,z_2 / mole frac.,T / K,p / MPa,w / m/s,Uc(w) / %,sigma_T / K,sigma_p / MPa,sigma_w / m s^-1,N_temp,N_echo,bibkey,weight,p / Pa,Ao20,rho(EOS) / mol/m^3
R1234ZEE,R227EA,0.66803,0.33197,309.993,1.287,437.016,0.097,0.002,0.001,0.009,13,9,2022 row per 1,1,1287000,-6.680363249376149,612.9923766458128
R1234ZEE,R227EA,0.66803,0.33197,314.99,3.694,446.312,0.089,0.003,0.001,0.008,13,9,2022 row per 1,1,3694000,-6.7554593190886125,13000.32756085286
R1234ZEE,R227EA,0.66803,0.33197,320.001,6.108,455.142,0.083,0.002,0.001,0.009,9,6,2022 row per 1,1,6108000,-6.8305682175223374,13018.650594251807
R1234ZEE,R227EA,0.66803,0.33197,325.006,8.485,463.181,0.078,0.001,0.004,0.046,16,12,2022 row per 1,1,8485000,-6.90536398425649,13027.870289524208
R1234ZEE,R227EA,0.66803,0.33197,329.998,10.848,470.828,0.073,0.002,0.004,0.042,13,9,2022 row per 1,1,10848000,-6.979717882205823,13033.802117581576
R1234ZEE,R227EA,0.66803,0.33197,335.001,13.187,478.006,0.07,0.001,0.013,0.123,13,9,2022 row per 1,1,13187000,-7.0539624419931695,13035.024432027374
R1234ZEE,R227EA,0.66803,0.33197,340.006,15.524,484.95,0.066,0.002,0.007,0.064,16,12,2022 row per 1,1,15524000,-7.127938393390931,13035.422327422619
R1234ZEE,R227EA,0.66803,0.33197,345.012,17.878,491.876,0.063,0.0,0.001,0.01,9,6,2022 row per 1,1,17878000,-7.20160662029838,13037.260703545684
R1234ZEE,R227EA,0.66803,0.33197,314.988,1.421,416.152,0.108,0.002,0.0,0.002,16,12,2022 row per 1,1,1421000,-6.755429300268572,673.2497186112072
R1234ZEE,R227EA,0.66803,0.33197,319.999,3.707,425.708,0.099,0.002,0.001,0.01,10,6,2022 row per 1,1,3707000,-6.830538282808357,12622.576659468905
R1234ZEE,R227EA,0.66803,0.33197,325.004,5.99,434.691,0.092,0.006,0.001,0.009,9,5,2022 row per 1,1,5990000,-6.905334143796142,12656.465786980927
R1234ZEE,R227EA,0.66803,0.33197,329.997,8.262,443.162,0.085,0.002,0.001,0.012,13,9,2022 row per 1,1,8262000,-6.97970301403268,12681.111159914473
R1234ZEE,R227EA,0.66803,0.33197,335.002,10.522,451.076,0.08,0.001,0.002,0.018,10,7,2022 row per 1,1,10522000,-7.053977253014008,12698.099710040615
R1234ZEE,R227EA,0.66803,0.33197,340.008,12.787,458.768,0.075,0.001,0.001,0.008,16,12,2022 row per 1,1,12787000,-7.127967891347818,12712.437066720959
R1234ZEE,R227EA,0.66803,0.33197,345.012,15.055,466.242,0.071,0.001,0.0,0.001,13,9,2022 row per 1,1,15055000,-7.20160662029838,12724.862706744107
R1234ZEE,R227EA,0.66803,0.33197,319.999,1.571,395.329,0.121,0.003,0.001,0.015,16,12,2022 row per 1,1,1571000,-6.830538282808357,741.5016918190463
R1234ZEE,R227EA,0.66803,0.33197,325.006,3.713,404.905,0.11,0.002,0.002,0.022,7,4,2022 row per 1,1,3713000,-6.90536398425649,12199.125625716762
R1234ZEE,R227EA,0.66803,0.33197,329.997,5.84,413.74,0.101,0.003,0.002,0.031,7,4,2022 row per 1,1,5840000,-6.97970301403268,12252.192583112499
R1234ZEE,R227EA,0.66803,0.33197,335.001,7.947,421.828,0.094,0.001,0.006,0.083,11,7,2022 row per 1,1,7947000,-7.0539624419931695,12286.512839686142
R1234ZEE,R227EA,0.66803,0.33197,340.007,10.06,429.658,0.088,0.002,0.007,0.082,12,8,2022 row per 1,1,10060000,-7.12795314237581,12313.7520044279
R1234ZEE,R227EA,0.66803,0.33197,345.013,12.157,437.017,0.083,0.004,0.007,0.076,13,9,2022 row per 1,1,12157000,-7.201621302494742,12333.092245441694
R1234ZEE,R227EA,0.66803,0.33197,325.004,1.528,371.159,0.139,0.001,0.0,0.007,11,7,2022 row per 1,1,1528000,-6.905334143796142,692.9859290344044
R1234ZEE,R227EA,0.66803,0.33197,329.996,3.533,381.131,0.126,0.001,0.0,0.003,16,12,2022 row per 1,1,3533000,-6.979688145848607,11649.043244649496
R1234ZEE,R227EA,0.66803,0.33197,335.002,5.533,390.25,0.115,0.001,0.0,0.007,5,3,2022 row per 1,1,5533000,-7.053977253014008,11751.54166557292
R1234ZEE,R227EA,0.66803,0.33197,340.007,7.545,399.012,0.106,0.002,0.001,0.007,9,5,2022 row per 1,1,7545000,-7.12795314237581,11824.674794619817
R1234ZEE,R227EA,0.66803,0.33197,345.013,9.561,407.376,0.098,0.001,0.0,0.005,10,6,2022 row per 1,1,9561000,-7.201621302494742,11879.813861902947
R1234ZEE,R227EA,0.66803,0.33197,329.997,1.761,351.239,0.158,0.002,0.001,0.027,16,12,2022 row per 1,1,1761000,-6.97970301403268,805.412255678023
R1234ZEE,R227EA,0.66803,0.33197,335.001,3.61,360.725,0.143,0.001,0.004,0.058,9,6,2022 row per 1,1,3610000,-7.0539624419931695,11051.858076468561
R1234ZEE,R227EA,0.66803,0.33197,340.007,5.462,369.609,0.13,0.001,0.008,0.124,12,8,2022 row per 1,1,5462000,-7.12795314237581,11226.558413163453
R1234ZEE,R227EA,0.66803,0.33197,345.012,7.292,377.62,0.12,0.003,0.01,0.15,10,6,2022 row per 1,1,7292000,-7.20160662029838,11328.171065224406
R1234ZEE,R227EA,0.66803,0.33197,335.0,1.723,325.609,0.191,0.002,0.001,0.017,8,5,2022 row per 1,1,1723000,-7.053947630960422,759.322988863377
R1234ZEE,R227EA,0.66803,0.33197,340.006,3.47,336.18,0.169,0.002,0.0,0.004,9,5,2022 row per 1,1,3470000,-7.127938393390931,2177.3183712656487
R1234ZEE,R227EA,0.66803,0.33197,345.012,5.221,345.863,0.151,0.0,0.001,0.012,8,6,2022 row per 1,1,5221000,-7.20160662029838,10481.333612035374
R1234ZEE,R227EA,0.66803,0.33197,340.005,2.029,306.651,0.22,0.002,0.0,0.003,10,6,2022 row per 1,1,2029000,-7.127923644393178,908.4676077208961
R1234ZEE,R227EA,0.66803,0.33197,345.012,3.661,317.287,0.193,0.0,0.0,0.005,9,6,2022 row per 1,1,3661000,-7.20160662029838,2234.393363279886
R1234ZEE,R227EA,0.66803,0.33197,345.013,1.861,275.263,0.292,0.004,0.0,0.157,6,3,2022 row per 1,1,1861000,-7.201621302494742,789.513539782611
